|A100|1|0|PART012|00|1|AS00010012|10012|12082026|12082026|2211,00|0,00|2211,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0022|624,00|0,00|1202|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM007|SERVICO SINTETICO A 0023|737,00|0,00|1203|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM008|SERVICO SINTETICO A 0024|850,00|0,00|1401|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|5102|
|A100|0|1|PART013|00|1|AS00010013|10013|13082026|13082026|661,00|0,00|661,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM001|SERVICO SINTETICO A 0025|661,00|0,00|1701|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|0|PART014|00|1|AS00010014|10014|14082026|14082026|1509,00|0,00|1509,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0026|698,00|0,00|1702|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM003|SERVICO SINTETICO A 0027|811,00|0,00|1801|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|0|1|PART015|00|1|AS00010015|10015|15082026|15082026|2544,00|0,00|2544,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0028|735,00|0,00|1201|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM005|SERVICO SINTETICO A 0029|848,00|0,00|1202|49|848,00|1,6500|13,99|49|848,00|7,6000|64,45|0|01|CTA_SERV|2102|
|A170|3|ITEM006|SERVICO SINTETICO A 0030|961,00|0,00|1203|50|961,00|1,6500|15,86|50|961,00|7,6000|73,04|0|01|CTA_SERV|5102|
|A100|1|0|PART016|00|1|AS00010016|10016|16082026|16082026|772,00|0,00|772,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM007|SERVICO SINTETICO A 0031|772,00|0,00|1401|49|772,00|1,6500|12,74|49|772,00|7,6000|58,67|0|01|CTA_SERV|5933|
|A100|0|1|PART017|00|1|AS00010017|10017|17082026|17082026|1731,00|0,00|1731,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0032|809,00|0,00|1701|50|809,00|1,6500|13,35|50|809,00|7,6000|61,48|0|01|CTA_SERV|6102|
|A170|2|ITEM001|SERVICO SINTETICO A 0033|922,00|0,00|1702|51|922,00|1,6500|15,21|51|922,00|7,6000|70,07|0|01|CTA_SERV|6933|
|A100|0|0|PART018|00|1|AS00010018|10018|18082026|18082026|2877,00|0,00|2877,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0034|846,00|0,00|1801|51|846,00|1,6500|13,96|51|846,00|7,6000|64,30|0|01|CTA_SERV|1102|
|A170|2|ITEM003|SERVICO SINTETICO A 0035|959,00|0,00|1201|70|959,00|1,6500|15,82|70|959,00|7,6000|72,88|0|01|CTA_SERV|2102|
|A170|3|ITEM004|SERVICO SINTETICO A 0036|1072,00|0,00|1202|73|1072,00|1,6500|17,69|73|1072,00|7,6000|81,47|0|01|CTA_SERV|5102|
|A100|0|1|PART019|00|1|AS00010019|10019|19082026|19082026|883,00|0,00|883,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM005|SERVICO SINTETICO A 0037|883,00|0,00|1203|70|883,00|1,6500|14,57|70|883,00|7,6000|67,11|0|01|CTA_SERV|5933|
|A100|1|0|PART020|00|1|AS00010020|10020|20082026|20082026|1953,00|0,00|1953,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0038|920,00|0,00|1401|73|920,00|1,6500|15,18|73|920,00|7,6000|69,92|0|01|CTA_SERV|6102|
|A170|2|ITEM007|SERVICO SINTETICO A 0039|1033,00|0,00|1701|01|1033,00|1,6500|17,04|01|1033,00|7,6000|78,51|0|01|CTA_SERV|6933|
|A100|0|1|PART021|00|1|AS00010021|10021|21082026|21082026|3210,00|0,00|3210,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0040|957,00|0,00|1702|01|957,00|1,6500|15,79|01|957,00|7,6000|72,73|0|01|CTA_SERV|1102|
|A170|2|ITEM001|SERVICO SINTETICO A 0041|1070,00|0,00|1801|02|1070,00|1,6500|17,66|02|1070,00|7,6000|81,32|0|01|CTA_SERV|2102|
|A170|3|ITEM002|SERVICO SINTETICO A 0042|1183,00|0,00|1201|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|5102|
|A100|0|0|PART022|00|1|AS00010022|10022|22082026|22082026|994,00|0,00|994,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM003|SERVICO SINTETICO A 0043|994,00|0,00|1202|02|994,00|1,6500|16,40|02|994,00|7,6000|75,54|0|01|CTA_SERV|5933|
|A100|0|1|PART023|00|1|AS00010023|10023|23082026|23082026|2175,00|0,00|2175,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0044|1031,00|0,00|1203|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM005|SERVICO SINTETICO A 0045|1144,00|0,00|1401|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|1|0|PART024|00|1|AS00010024|10024|24082026|24082026|3543,00|0,00|3543,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0046|1068,00|0,00|1701|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM007|SERVICO SINTETICO A 0047|1181,00|0,00|1702|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM008|SERVICO SINTETICO A 0048|1294,00|0,00|1801|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|5102|
|A100|0|1|PART025|00|1|AS00010025|10025|25082026|25082026|1105,00|0,00|1105,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM001|SERVICO SINTETICO A 0049|1105,00|0,00|1201|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|0|PART026|00|1|AS00010026|10026|26082026|26082026|2397,00|0,00|2397,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0050|1142,00|0,00|1202|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM003|SERVICO SINTETICO A 0051|1255,00|0,00|1203|49|1255,00|1,6500|20,71|49|1255,00|7,6000|95,38|0|01|CTA_SERV|6933|
|A100|0|1|PART027|00|1|AS00010027|10027|27082026|27082026|3876,00|0,00|3876,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0052|1179,00|0,00|1401|49|1179,00|1,6500|19,45|49|1179,00|7,6000|89,60|0|01|CTA_SERV|1102|
|A170|2|ITEM005|SERVICO SINTETICO A 0053|1292,00|0,00|1701|50|1292,00|1,6500|21,32|50|1292,00|7,6000|98,19|0|01|CTA_SERV|2102|
|A170|3|ITEM006|SERVICO SINTETICO A 0054|1405,00|0,00|1702|51|1405,00|1,6500|23,18|51|1405,00|7,6000|106,78|0|01|CTA_SERV|5102|
|A100|1|0|PART028|00|1|AS00010028|10028|28082026|28082026|1216,00|0,00|1216,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM007|SERVICO SINTETICO A 0055|1216,00|0,00|1801|50|1216,00|1,6500|20,06|50|1216,00|7,6000|92,42|0|01|CTA_SERV|5933|
|A100|0|1|PART029|00|1|AS00010029|10029|29082026|29082026|2619,00|0,00|2619,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0056|1253,00|0,00|1201|51|1253,00|1,6500|20,67|51|1253,00|7,6000|95,23|0|01|CTA_SERV|6102|
|A170|2|ITEM001|SERVICO SINTETICO A 0057|1366,00|0,00|1202|70|1366,00|1,6500|22,54|70|1366,00|7,6000|103,82|0|01|CTA_SERV|6933|
|A100|0|0|PART030|00|1|AS00010030|10030|30082026|30082026|4209,00|0,00|4209,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0058|1290,00|0,00|1203|70|1290,00|1,6500|21,29|70|1290,00|7,6000|98,04|0|01|CTA_SERV|1102|
|A170|2|ITEM003|SERVICO SINTETICO A 0059|1403,00|0,00|1401|73|1403,00|1,6500|23,15|73|1403,00|7,6000|106,63|0|01|CTA_SERV|2102|
|A170|3|ITEM004|SERVICO SINTETICO A 0060|1516,00|0,00|1701|01|1516,00|1,6500|25,01|01|1516,00|7,6000|115,22|0|01|CTA_SERV|5102|
|A100|0|1|PART001|00|1|AS00010031|10031|31082026|31082026|1327,00|0,00|1327,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM005|SERVICO SINTETICO A 0061|1327,00|0,00|1702|73|1327,00|1,6500|21,90|73|1327,00|7,6000|100,85|0|01|CTA_SERV|5933|
|A100|1|0|PART002|00|1|AS00010032|10032|01082026|01082026|2841,00|0,00|2841,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0062|1364,00|0,00|1801|01|1364,00|1,6500|22,51|01|1364,00|7,6000|103,66|0|01|CTA_SERV|6102|
|A170|2|ITEM007|SERVICO SINTETICO A 0063|1477,00|0,00|1201|02|1477,00|1,6500|24,37|02|1477,00|7,6000|112,25|0|01|CTA_SERV|6933|
|A100|0|1|PART003|00|1|AS00010033|10033|02082026|02082026|4542,00|0,00|4542,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0064|1401,00|0,00|1202|02|1401,00|1,6500|23,12|02|1401,00|7,6000|106,48|0|01|CTA_SERV|1102|
|A170|2|ITEM001|SERVICO SINTETICO A 0065|1514,00|0,00|1203|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM002|SERVICO SINTETICO A 0066|1627,00|0,00|1401|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|5102|
|A100|0|0|PART004|00|1|AS00010034|10034|03082026|03082026|1438,00|0,00|1438,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM003|SERVICO SINTETICO A 0067|1438,00|0,00|1701|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|1|PART005|00|1|AS00010035|10035|04082026|04082026|3063,00|0,00|3063,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0068|1475,00|0,00|1702|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM005|SERVICO SINTETICO A 0069|1588,00|0,00|1801|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|1|0|PART006|00|1|AS00010036|10036|05082026|05082026|4875,00|0,00|4875,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0070|1512,00|0,00|1201|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM007|SERVICO SINTETICO A 0071|1625,00|0,00|1202|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM008|SERVICO SINTETICO A 0072|1738,00|0,00|1203|49|1738,00|1,6500|28,68|49|1738,00|7,6000|132,09|0|01|CTA_SERV|5102|
|A100|0|1|PART007|00|1|AS00010037|10037|06082026|06082026|1549,00|0,00|1549,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM001|SERVICO SINTETICO A 0073|1549,00|0,00|1401|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|0|PART008|00|1|AS00010038|10038|07082026|07082026|3285,00|0,00|3285,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0074|1586,00|0,00|1701|49|1586,00|1,6500|26,17|49|1586,00|7,6000|120,54|0|01|CTA_SERV|6102|
|A170|2|ITEM003|SERVICO SINTETICO A 0075|1699,00|0,00|1702|50|1699,00|1,6500|28,03|50|1699,00|7,6000|129,12|0|01|CTA_SERV|6933|
|A100|0|1|PART009|00|1|AS00010039|10039|08082026|08082026|5208,00|0,00|5208,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0076|1623,00|0,00|1801|50|1623,00|1,6500|26,78|50|1623,00|7,6000|123,35|0|01|CTA_SERV|1102|
|A170|2|ITEM005|SERVICO SINTETICO A 0077|1736,00|0,00|1201|51|1736,00|1,6500|28,64|51|1736,00|7,6000|131,94|0|01|CTA_SERV|2102|
|A170|3|ITEM006|SERVICO SINTETICO A 0078|1849,00|0,00|1202|70|1849,00|1,6500|30,51|70|1849,00|7,6000|140,52|0|01|CTA_SERV|5102|
|A100|1|0|PART010|00|1|AS00010040|10040|09082026|09082026|1660,00|0,00|1660,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM007|SERVICO SINTETICO A 0079|1660,00|0,00|1203|51|1660,00|1,6500|27,39|51|1660,00|7,6000|126,16|0|01|CTA_SERV|5933|
|A100|0|1|PART011|00|1|AS00010041|10041|10082026|10082026|3507,00|0,00|3507,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0080|1697,00|0,00|1401|70|1697,00|1,6500|28,00|70|1697,00|7,6000|128,97|0|01|CTA_SERV|6102|
|A170|2|ITEM001|SERVICO SINTETICO A 0081|1810,00|0,00|1701|73|1810,00|1,6500|29,87|73|1810,00|7,6000|137,56|0|01|CTA_SERV|6933|
|A100|0|0|PART012|00|1|AS00010042|10042|11082026|11082026|5541,00|0,00|5541,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0082|1734,00|0,00|1702|73|1734,00|1,6500|28,61|73|1734,00|7,6000|131,78|0|01|CTA_SERV|1102|
|A170|2|ITEM003|SERVICO SINTETICO A 0083|1847,00|0,00|1801|01|1847,00|1,6500|30,48|01|1847,00|7,6000|140,37|0|01|CTA_SERV|2102|
|A170|3|ITEM004|SERVICO SINTETICO A 0084|1960,00|0,00|1201|02|1960,00|1,6500|32,34|02|1960,00|7,6000|148,96|0|01|CTA_SERV|5102|
|A100|0|1|PART013|00|1|AS00010043|10043|12082026|12082026|1771,00|0,00|1771,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM005|SERVICO SINTETICO A 0085|1771,00|0,00|1202|01|1771,00|1,6500|29,22|01|1771,00|7,6000|134,60|0|01|CTA_SERV|5933|
|A100|1|0|PART014|00|1|AS00010044|10044|13082026|13082026|3729,00|0,00|3729,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0086|1808,00|0,00|1203|02|1808,00|1,6500|29,83|02|1808,00|7,6000|137,41|0|01|CTA_SERV|6102|
|A170|2|ITEM007|SERVICO SINTETICO A 0087|1921,00|0,00|1401|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|0|1|PART015|00|1|AS00010045|10045|14082026|14082026|5874,00|0,00|5874,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0088|1845,00|0,00|1701|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM001|SERVICO SINTETICO A 0089|1958,00|0,00|1702|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM002|SERVICO SINTETICO A 0090|2071,00|0,00|1801|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|5102|
|A100|0|0|PART016|00|1|AS00010046|10046|15082026|15082026|1882,00|0,00|1882,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM003|SERVICO SINTETICO A 0091|1882,00|0,00|1201|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|1|PART017|00|1|AS00010047|10047|16082026|16082026|3951,00|0,00|3951,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0092|1919,00|0,00|1202|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM005|SERVICO SINTETICO A 0093|2032,00|0,00|1203|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|1|0|PART018|00|1|AS00010048|10048|17082026|17082026|6207,00|0,00|6207,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0094|1956,00|0,00|1401|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM007|SERVICO SINTETICO A 0095|2069,00|0,00|1701|49|2069,00|1,6500|34,14|49|2069,00|7,6000|157,24|0|01|CTA_SERV|2102|
