Status;Identificador;CNPJ;Período EFD Contribuições;Período EFD ICMS;Chave NF-e;Tipo Operação EFD Contribuições;Tipo Operação EFD ICMS;Indicador Emitente EFD Contribuições;Indicador Emitente EFD ICMS;Código Participante EFD Contribuições;Código Participante EFD ICMS;Modelo EFD Contribuições;Modelo EFD ICMS;Situação EFD Contribuições;Situação EFD ICMS;Série EFD Contribuições;Série EFD ICMS;Número Documento EFD Contribuições;Número Documento EFD ICMS;Data Documento EFD Contribuições;Data Documento EFD ICMS;Data Entrada/Saída EFD Contribuições;Data Entrada/Saída EFD ICMS;Valor Documento EFD Contribuições;Valor Documento EFD ICMS;Divergências;Linhas EFD Contribuições;Linhas EFD ICMS;Quantidade EFD Contribuições;Quantidade EFD ICMS
CONFERENTE;CHV_NFE:35260899000000070001553590000200591700200597;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000070001553590000200591700200597;1;1;1;1;PART007;PART007;55;55;00;00;1;1;20059;20059;23082026;23082026;23082026;23082026;1476,00;1476,00;;532;153;1;1
CONFERENTE;CHV_NFE:35260899000000070001553890000200891700200894;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000070001553890000200891700200894;1;1;1;1;PART007;PART007;55;55;00;00;1;1;20089;20089;20082026;20082026;20082026;20082026;6936,00;6936,00;;622;213;1;1
SOMENTE_EFD_CONTRIBUICOES;CHV_NFE:35260899000000070001554190000201191700201197;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000070001554190000201191700201197;1;;1;;PART007;;55;;00;;1;;20119;;17082026;;17082026;;2796,00;;Nota ausente na EFD ICMS/IPI;712;;1;0
CONFERENTE;CHV_NFE:35260899000000080001553300000200301700200308;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000080001553300000200301700200308;0;0;0;0;PART008;PART008;55;55;00;00;1;1;20030;20030;29082026;29082026;29082026;29082026;8932,50;8932,50;;445;95;1;1
CONFERENTE;CHV_NFE:35260899000000080001553600000200601700200605;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000080001553600000200601700200605;0;0;0;0;PART008;PART008;55;55;00;00;1;1;20060;20060;26082026;26082026;26082026;26082026;2722,50;2722,50;;535;155;1;1
CONFERENTE;CHV_NFE:35260899000000080001553900000200901700200902;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000080001553900000200901700200902;0;0;0;0;PART008;PART008;55;55;00;00;1;1;20090;20090;23082026;23082026;23082026;23082026;10912,50;10912,50;;625;215;1;1
SOMENTE_EFD_CONTRIBUICOES;CHV_NFE:35260899000000080001554200000201201700201205;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000080001554200000201201700201205;0;;0;;PART008;;55;;00;;1;;20120;;20082026;;20082026;;4702,50;;Nota ausente na EFD ICMS/IPI;715;;1;0
DIVERGENTE;CHV_NFE:35260899000000090001553010000200011700200018;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000090001553010000200011700200018;1;1;1;1;PART009;PART009;55;55;00;00;1;1;20001;20001;04082026;04082026;04082026;04082026;181,50;182,50;Valor Documento;359;37;1;1
CONFERENTE;CHV_NFE:35260899000000090001553310000200311700200315;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000090001553310000200311700200315;1;1;1;1;PART009;PART009;55;55;00;00;1;1;20031;20031;01082026;01082026;01082026;01082026;2911,50;2911,50;;449;97;1;1
CONFERENTE;CHV_NFE:35260899000000090001553610000200611700200612;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000090001553610000200611700200612;1;1;1;1;PART009;PART009;55;55;00;00;1;1;20061;20061;29082026;29082026;29082026;29082026;841,50;841,50;;539;157;1;1
CONFERENTE;CHV_NFE:35260899000000090001553910000200911700200910;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000090001553910000200911700200910;1;1;1;1;PART009;PART009;55;55;00;00;1;1;20091;20091;26082026;26082026;26082026;26082026;3571,50;3571,50;;629;217;1;1
CONFERENTE;CHV_NFE:35260899000000100001553020000200021700200025;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000100001553020000200021700200025;1;1;0;0;PART010;PART010;55;55;00;00;1;1;20002;20002;07082026;07082026;07082026;07082026;702,00;702,00;;361;39;1;1
CONFERENTE;CHV_NFE:35260899000000100001553320000200321700200322;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000100001553320000200321700200322;1;1;0;0;PART010;PART010;55;55;00;00;1;1;20032;20032;04082026;04082026;04082026;04082026;6162,00;6162,00;;451;99;1;1
CONFERENTE;CHV_NFE:35260899000000100001553620000200621700200620;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000100001553620000200621700200620;1;1;0;0;PART010;PART010;55;55;00;00;1;1;20062;20062;01082026;01082026;01082026;01082026;2022,00;2022,00;;541;159;1;1
CONFERENTE;CHV_NFE:35260899000000100001553920000200921700200927;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000100001553920000200921700200927;1;1;0;0;PART010;PART010;55;55;00;00;1;1;20092;20092;29082026;29082026;29082026;29082026;7482,00;7482,00;;631;219;1;1
CONFERENTE;CHV_NFE:35260899000000110001553030000200031700200032;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000110001553030000200031700200032;1;1;1;1;PART011;PART011;55;55;00;00;1;1;20003;20003;10082026;10082026;10082026;10082026;1561,50;1561,50;;364;41;1;1
CONFERENTE;CHV_NFE:35260899000000110001553330000200331700200330;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000110001553330000200331700200330;1;1;1;1;PART011;PART011;55;55;00;00;1;1;20033;20033;07082026;07082026;07082026;07082026;9751,50;9751,50;;454;101;1;1
CONFERENTE;CHV_NFE:35260899000000110001553630000200631700200637;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000110001553630000200631700200637;1;1;1;1;PART011;PART011;55;55;00;00;1;1;20063;20063;04082026;04082026;04082026;04082026;3541,50;3541,50;;544;161;1;1
CONFERENTE;CHV_NFE:35260899000000110001553930000200931700200934;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000110001553930000200931700200934;1;1;1;1;PART011;PART011;55;55;00;00;1;1;20093;20093;01082026;01082026;01082026;01082026;11731,50;11731,50;;634;221;1;1
CONFERENTE;CHV_NFE:35260899000000120001553040000200041700200040;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000120001553040000200041700200040;1;1;0;0;PART012;PART012;55;55;00;00;1;1;20004;20004;13082026;13082026;13082026;13082026;454,50;454,50;;368;43;1;1
CONFERENTE;CHV_NFE:35260899000000120001553340000200341700200347;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000120001553340000200341700200347;1;1;0;0;PART012;PART012;55;55;00;00;1;1;20034;20034;10082026;10082026;10082026;10082026;3184,50;3184,50;;458;103;1;1
CONFERENTE;CHV_NFE:35260899000000120001553640000200641700200644;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000120001553640000200641700200644;1;1;0;0;PART012;PART012;55;55;00;00;1;1;20064;20064;07082026;07082026;07082026;07082026;1114,50;1114,50;;548;163;1;1
CONFERENTE;CHV_NFE:35260899000000120001553940000200941700200941;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000120001553940000200941700200941;1;1;0;0;PART012;PART012;55;55;00;00;1;1;20094;20094;04082026;04082026;04082026;04082026;3844,50;3844,50;;638;223;1;1
CONFERENTE;CHV_NFE:35260899000000130001553050000200051700200057;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000130001553050000200051700200057;0;0;1;1;PART013;PART013;55;55;00;00;1;1;20005;20005;16082026;16082026;16082026;16082026;1248,00;1248,00;;370;45;1;1
CONFERENTE;CHV_NFE:35260899000000130001553350000200351700200354;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000130001553350000200351700200354;0;0;1;1;PART013;PART013;55;55;00;00;1;1;20035;20035;13082026;13082026;13082026;13082026;6708,00;6708,00;;460;105;1;1
CONFERENTE;CHV_NFE:35260899000000130001553650000200651700200651;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000130001553650000200651700200651;0;0;1;1;PART013;PART013;55;55;00;00;1;1;20065;20065;10082026;10082026;10082026;10082026;2568,00;2568,00;;550;165;1;1
CONFERENTE;CHV_NFE:35260899000000130001553950000200951700200959;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000130001553950000200951700200959;0;0;1;1;PART013;PART013;55;55;00;00;1;1;20095;20095;07082026;07082026;07082026;07082026;8028,00;8028,00;;640;225;1;1
CONFERENTE;CHV_NFE:35260899000000140001553060000200061700200064;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000140001553060000200061700200064;1;1;0;0;PART014;PART014;55;55;00;00;1;1;20006;20006;19082026;19082026;19082026;19082026;2380,50;2380,50;;373;47;1;1
CONFERENTE;CHV_NFE:35260899000000140001553360000200361700200361;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000140001553360000200361700200361;1;1;0;0;PART014;PART014;55;55;00;00;1;1;20036;20036;16082026;16082026;16082026;16082026;10570,50;10570,50;;463;107;1;1
CONFERENTE;CHV_NFE:35260899000000140001553660000200661700200669;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000140001553660000200661700200669;1;1;0;0;PART014;PART014;55;55;00;00;1;1;20066;20066;13082026;13082026;13082026;13082026;4360,50;4360,50;;553;167;1;1
CONFERENTE;CHV_NFE:35260899000000140001553960000200961700200966;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000140001553960000200961700200966;1;1;0;0;PART014;PART014;55;55;00;00;1;1;20096;20096;10082026;10082026;10082026;10082026;12550,50;12550,50;;643;227;1;1
CONFERENTE;CHV_NFE:35260899000000150001553070000200071700200071;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000150001553070000200071700200071;1;1;1;1;PART015;PART015;55;55;00;00;1;1;20007;20007;22082026;22082026;22082026;22082026;727,50;727,50;;377;49;1;1
CONFERENTE;CHV_NFE:35260899000000150001553370000200371700200379;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000150001553370000200371700200379;1;1;1;1;PART015;PART015;55;55;00;00;1;1;20037;20037;19082026;19082026;19082026;19082026;3457,50;3457,50;;467;109;1;1
CONFERENTE;CHV_NFE:35260899000000150001553670000200671700200676;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000150001553670000200671700200676;1;1;1;1;PART015;PART015;55;55;00;00;1;1;20067;20067;16082026;16082026;16082026;16082026;1387,50;1387,50;;557;169;1;1
CONFERENTE;CHV_NFE:35260899000000150001553970000200971700200973;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000150001553970000200971700200973;1;1;1;1;PART015;PART015;55;55;00;00;1;1;20097;20097;13082026;13082026;13082026;13082026;4117,50;4117,50;;647;229;1;1
CONFERENTE;CHV_NFE:35260899000000160001553080000200081700200089;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000160001553080000200081700200089;1;1;0;0;PART016;PART016;55;55;00;00;1;1;20008;20008;25082026;25082026;25082026;25082026;1794,00;1794,00;;379;51;1;1
CONFERENTE;CHV_NFE:35260899000000160001553380000200381700200386;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000160001553380000200381700200386;1;1;0;0;PART016;PART016;55;55;00;00;1;1;20038;20038;22082026;22082026;22082026;22082026;7254,00;7254,00;;469;111;1;1
CONFERENTE;CHV_NFE:35260899000000160001553680000200681700200683;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000160001553680000200681700200683;1;1;0;0;PART016;PART016;55;55;00;00;1;1;20068;20068;19082026;19082026;19082026;19082026;3114,00;3114,00;;559;171;1;1
CONFERENTE;CHV_NFE:35260899000000160001553980000200981700200980;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000160001553980000200981700200980;1;1;0;0;PART016;PART016;55;55;00;00;1;1;20098;20098;16082026;16082026;16082026;16082026;8574,00;8574,00;;649;231;1;1
CONFERENTE;CHV_NFE:35260899000000170001553090000200091700200096;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000170001553090000200091700200096;1;1;1;1;PART017;PART017;55;55;00;00;1;1;20009;20009;28082026;28082026;28082026;28082026;3199,50;3199,50;;382;53;1;1
CONFERENTE;CHV_NFE:35260899000000170001553390000200391700200393;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000170001553390000200391700200393;1;1;1;1;PART017;PART017;55;55;00;00;1;1;20039;20039;25082026;25082026;25082026;25082026;11389,50;11389,50;;472;113;1;1
CONFERENTE;CHV_NFE:35260899000000170001553690000200691700200690;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000170001553690000200691700200690;1;1;1;1;PART017;PART017;55;55;00;00;1;1;20069;20069;22082026;22082026;22082026;22082026;5179,50;5179,50;;562;173;1;1
CONFERENTE;CHV_NFE:35260899000000170001553990000200991700200998;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000170001553990000200991700200998;1;1;1;1;PART017;PART017;55;55;00;00;1;1;20099;20099;19082026;19082026;19082026;19082026;13369,50;13369,50;;652;233;1;1
CONFERENTE;CHV_NFE:35260899000000180001553100000200101700200104;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000180001553100000200101700200104;0;0;0;0;PART018;PART018;55;55;00;00;1;1;20010;20010;31082026;31082026;31082026;31082026;1000,50;1000,50;;386;55;1;1
CONFERENTE;CHV_NFE:35260899000000180001553400000200401700200401;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000180001553400000200401700200401;0;0;0;0;PART018;PART018;55;55;00;00;1;1;20040;20040;28082026;28082026;28082026;28082026;3730,50;3730,50;;476;115;1;1
CONFERENTE;CHV_NFE:35260899000000180001553700000200701700200709;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000180001553700000200701700200709;0;0;0;0;PART018;PART018;55;55;00;00;1;1;20070;20070;25082026;25082026;25082026;25082026;1660,50;1660,50;;566;175;1;1
CONFERENTE;CHV_NFE:35260899000000180001554000000201001700201001;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000180001554000000201001700201001;0;0;0;0;PART018;PART018;55;55;00;00;1;1;20100;20100;22082026;22082026;22082026;22082026;4390,50;4390,50;;656;235;1;1
CONFERENTE;CHV_NFE:35260899000000190001553110000200111700200111;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000190001553110000200111700200111;1;1;1;1;PART019;PART019;55;55;00;00;1;1;20011;20011;03082026;03082026;03082026;03082026;2340,00;2340,00;;388;57;1;1
CONFERENTE;CHV_NFE:35260899000000190001553410000200411700200419;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000190001553410000200411700200419;1;1;1;1;PART019;PART019;55;55;00;00;1;1;20041;20041;31082026;31082026;31082026;31082026;7800,00;7800,00;;478;117;1;1
CONFERENTE;CHV_NFE:35260899000000190001553710000200711700200716;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000190001553710000200711700200716;1;1;1;1;PART019;PART019;55;55;00;00;1;1;20071;20071;28082026;28082026;28082026;28082026;3660,00;3660,00;;568;177;1;1
CONFERENTE;CHV_NFE:35260899000000190001554010000201011700201019;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000190001554010000201011700201019;1;1;1;1;PART019;PART019;55;55;00;00;1;1;20101;20101;25082026;25082026;25082026;25082026;9120,00;9120,00;;658;237;1;1
CONFERENTE;CHV_NFE:35260899000000200001553120000200121700200129;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000200001553120000200121700200129;1;1;0;0;PART020;PART020;55;55;00;00;1;1;20012;20012;06082026;06082026;06082026;06082026;4018,50;4018,50;;391;59;1;1
CONFERENTE;CHV_NFE:35260899000000200001553420000200421700200426;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000200001553420000200421700200426;1;1;0;0;PART020;PART020;55;55;00;00;1;1;20042;20042;03082026;03082026;03082026;03082026;12208,50;12208,50;;481;119;1;1
CONFERENTE;CHV_NFE:35260899000000200001553720000200721700200723;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000200001553720000200721700200723;1;1;0;0;PART020;PART020;55;55;00;00;1;1;20072;20072;31082026;31082026;31082026;31082026;5998,50;5998,50;;571;179;1;1
CONFERENTE;CHV_NFE:35260899000000200001554020000201021700201026;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000200001554020000201021700201026;1;1;0;0;PART020;PART020;55;55;00;00;1;1;20102;20102;28082026;28082026;28082026;28082026;14188,50;14188,50;;661;239;1;1
CONFERENTE;CHV_NFE:35260899000000210001553130000200131700200136;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000210001553130000200131700200136;1;1;1;1;PART021;PART021;55;55;00;00;1;1;20013;20013;09082026;09082026;09082026;09082026;1273,50;1273,50;;395;61;1;1
CONFERENTE;CHV_NFE:35260899000000210001553430000200431700200433;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000210001553430000200431700200433;1;1;1;1;PART021;PART021;55;55;00;00;1;1;20043;20043;06082026;06082026;06082026;06082026;4003,50;4003,50;;485;121;1;1
CONFERENTE;CHV_NFE:35260899000000210001553730000200731700200730;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000210001553730000200731700200730;1;1;1;1;PART021;PART021;55;55;00;00;1;1;20073;20073;03082026;03082026;03082026;03082026;1933,50;1933,50;;575;181;1;1
CONFERENTE;CHV_NFE:35260899000000210001554030000201031700201033;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000210001554030000201031700201033;1;1;1;1;PART021;PART021;55;55;00;00;1;1;20103;20103;31082026;31082026;31082026;31082026;4663,50;4663,50;;665;241;1;1
CONFERENTE;CHV_NFE:35260899000000220001553140000200141700200143;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000220001553140000200141700200143;1;1;0;0;PART022;PART022;55;55;00;00;1;1;20014;20014;12082026;12082026;12082026;12082026;2886,00;2886,00;;397;63;1;1
CONFERENTE;CHV_NFE:35260899000000220001553440000200441700200440;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000220001553440000200441700200440;1;1;0;0;PART022;PART022;55;55;00;00;1;1;20044;20044;09082026;09082026;09082026;09082026;8346,00;8346,00;;487;123;1;1
CONFERENTE;CHV_NFE:35260899000000220001553740000200741700200748;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000220001553740000200741700200748;1;1;0;0;PART022;PART022;55;55;00;00;1;1;20074;20074;06082026;06082026;06082026;06082026;4206,00;4206,00;;577;183;1;1
CONFERENTE;CHV_NFE:35260899000000220001554040000201041700201040;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000220001554040000201041700201040;1;1;0;0;PART022;PART022;55;55;00;00;1;1;20104;20104;03082026;03082026;03082026;03082026;4866,00;4866,00;;667;243;1;1
CONFERENTE;CHV_NFE:35260899000000230001553150000200151700200150;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000230001553150000200151700200150;0;0;1;1;PART023;PART023;55;55;00;00;1;1;20015;20015;15082026;15082026;15082026;15082026;4837,50;4837,50;;400;65;1;1
CONFERENTE;CHV_NFE:35260899000000230001553450000200451700200458;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000230001553450000200451700200458;0;0;1;1;PART023;PART023;55;55;00;00;1;1;20045;20045;12082026;12082026;12082026;12082026;13027,50;13027,50;;490;125;1;1
CONFERENTE;CHV_NFE:35260899000000230001553750000200751700200755;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000230001553750000200751700200755;0;0;1;1;PART023;PART023;55;55;00;00;1;1;20075;20075;09082026;09082026;09082026;09082026;6817,50;6817,50;;580;185;1;1
CONFERENTE;CHV_NFE:35260899000000230001554050000201051700201058;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000230001554050000201051700201058;0;0;1;1;PART023;PART023;55;55;00;00;1;1;20105;20105;06082026;06082026;06082026;06082026;5407,50;5407,50;;670;245;1;1
